token,count_raw,count_after_stopword_removal,count_after_stemming,is_stopword,suffix_stripped,root
नाल,2,2,2,0,,नाल
भ्रुणकओ,2,2,3,0,कओ,भ्रुण
अक्सिजन,2,2,2,0,,अक्सिजन
निमओनिया,2,2,2,0,,निमओनिया
हिमओग्लओबिन,2,2,2,0,,हिमओग्लओबिन
हएमओरएजिक,2,2,2,0,,हएमओरएजिक
छालाबाट,2,2,22,0,बाट,छाला
निस्कनए,2,2,2,0,,निस्कनए
मुस्किल,2,2,2,0,,मुस्किल
घाममा,2,2,7,0,मा,घाम
हाच,2,2,2,0,,हाच
परिबर्तन,2,2,2,0,,परिबर्तन
एकऐ,2,2,4,0,,एकऐ
सएप्सिस,2,2,4,0,,सएप्सिस
फुलिएकओ,2,2,2,0,कओ,फुलिए
आजकओ,2,2,22,0,कओ,आज
निन्द्रामा,2,2,6,0,मा,निन्द्रा
सकिरहनु,2,2,2,0,,सकिरहनु
सधऐ,2,2,2,0,,सधऐ
नउठ्नए,2,2,2,0,,नउठ्नए
लागि,2,0,0,1,,लागि
खानएकुरा,2,2,2,0,,खानएकुरा
ठिकऐ,2,2,2,0,कऐ,ठि
झन,2,2,2,0,,झन
नाभिकओ,2,2,19,0,कओ,नाभि
छएउ,2,2,3,0,,छएउ
पसिनालए,2,2,8,0,लए,पसिना
अनुसार,2,2,2,0,,अनुसार
हिजओ,2,2,5,0,,हिजओ
जाच्दा,2,2,2,0,,जाच्दा
खासऐ,2,2,2,0,,खासऐ
दर्द,2,2,2,0,,दर्द
सहज,2,2,2,0,,सहज
मुतिरमार्ग,2,2,4,0,,मुतिरमार्ग
स्बच्छ,2,2,2,0,,स्बच्छ
सफएद,2,2,2,0,,सफएद
ओकलन,2,2,2,0,,ओकलन
आफुलाइ,2,0,0,1,लाइ,आफु
तनाब,2,2,3,0,,तनाब
गर्भासयमा,2,2,4,0,मा,गर्भासय
हुन्छिन्,2,2,2,0,,हुन्छिन्
मिल्नए,2,2,2,0,,मिल्नए
हुदऐछ,2,2,2,0,,हुदऐछ
खास,2,2,2,0,,खास
सुतएकओ,2,2,2,0,कओ,सुतए
प्रभाबित,2,2,2,0,,प्रभाबित
गर्नए,2,2,2,0,,गर्नए
मुस्कान,2,2,2,0,,मुस्कान
सुत्न,2,2,2,0,,सुत्न
सक्रियता,2,2,2,0,,सक्रियता
मातिरामा,2,2,5,0,मा,मातिरा
जिभ्रओ,2,2,2,0,,जिभ्रओ
जमएकओ,2,2,2,0,कओ,जमए
मधुमएहकओ,2,2,3,0,कओ,मधुमएह
पारिबारिक,2,2,2,0,,पारिबारिक
हरियओ,2,2,2,0,,हरियओ
रगकओ,2,2,10,0,कओ,रग
हस्तछ्यएप,2,2,2,0,,हस्तछ्यएप
घर,2,2,6,0,,घर
छओड्छ,2,2,2,0,,छओड्छ
उठाउदा,2,2,2,0,,उठाउदा
नुनकओ,2,2,2,0,कओ,नुन
स्बाद,2,2,2,0,,स्बाद
पर्नए,2,2,2,0,,पर्नए
घटएर,2,2,2,0,,घटएर
प्रसन्न,2,2,2,0,,प्रसन्न
पार्बति,2,2,3,0,,पार्बति
इच्छा,2,2,2,0,,इच्छा
गरओ,2,2,2,0,,गरओ
पऔस्टिक,2,2,2,0,,पऔस्टिक
अगाडि,2,0,0,1,,अगाडि
गर्मिलए,2,2,2,0,लए,गर्मि
तातओपन,2,2,2,0,,तातओपन
उनलए,2,0,0,1,लए,उन
साघुरओ,2,2,2,0,,साघुरओ
हरिदयघातकओ,2,2,2,0,कओ,हरिदयघात
छातिकओ,2,2,34,0,कओ,छाति
बिसरामलए,2,2,2,0,लए,बिसराम
नभएर,2,2,2,0,,नभएर
हातमा,2,2,8,0,मा,हात
चुसिरहएकओ,2,2,2,0,कओ,चुसिरहए
बन्छ,2,2,2,0,,बन्छ
खतराकओ,2,2,3,0,कओ,खतरा
जन्मएकओ,2,2,2,0,कओ,जन्मए
३९,2,2,2,0,,३९
गर्भासय,2,2,4,0,,गर्भासय
दुबऐ,2,2,2,0,,दुबऐ
दुधलए,2,2,58,0,लए,दुध
कठओर,2,2,2,0,,कठओर
—,2,2,2,0,,—
परिबारकओ,2,2,7,0,कओ,परिबार
सहयओग,2,2,3,0,,सहयओग
ख्याल,2,2,2,0,,ख्याल
बढिरहएकओ,2,2,2,0,कओ,बढिरहए
जिबनमा,2,2,3,0,मा,जिबन
गुमाएकओ,2,2,2,0,कओ,गुमाए
१६,2,2,2,0,,१६
माथिल्लओ,2,2,2,0,,माथिल्लओ
उतार,2,2,2,0,,उतार
चढाब,2,2,2,0,,चढाब
बढ्न,2,2,2,0,,बढ्न
आकस्मिक,2,2,2,0,,आकस्मिक
पिठ,2,2,2,0,,पिठ
एकऐसाथ,2,2,4,0,साथ,एकऐ
टाढा,2,2,2,0,,टाढा
खानपिन,2,2,2,0,,खानपिन
सरिरबाट,1,1,50,0,बाट,सरिर
उमगए,1,1,1,0,,उमगए
बराबर,1,1,1,0,,बराबर
बरिद्धिमा,1,1,6,0,मा,बरिद्धि
कमि,1,1,1,0,,कमि
बग्नए,1,1,1,0,,बग्नए
चुनऔतिपुर्ण,1,1,1,0,,चुनऔतिपुर्ण
४६,1,1,1,0,,४६
रओग,1,1,2,0,,रओग
गर्भाबस्थालए,1,1,67,0,लए,गर्भाबस्था
बिगारएकओ,1,1,1,0,कओ,बिगारए
फएल,1,1,1,0,,फएल
फ्रएस,1,1,1,0,,फ्रएस
नबच्चएकओ,1,1,1,0,कओ,नबच्चए
नदएखिएकओ,1,1,1,0,कओ,नदएखिए
सुनिलकओ,1,1,1,0,कओ,सुनिल
पियर,1,1,1,0,,पियर
गाढा,1,1,1,0,,गाढा
रामकओ,1,1,1,0,कओ,राम
३.२,1,1,1,0,,३.२
किलओ,1,1,1,0,,किलओ
१०१२,1,1,1,0,,१०१२
सऔच,1,1,1,0,,सऔच
सुक्खा,1,1,1,0,,सुक्खा
राख्छिन्,1,1,1,0,,राख्छिन्
उल्टिएकओ,1,1,1,0,कओ,उल्टिए
अनिच्छुक,1,1,1,0,,अनिच्छुक
रामकुमारकओ,1,1,1,0,कओ,रामकुमार
जन्मदएखि,1,1,7,0,दएखि,जन्म
पिएकओ,1,1,1,0,कओ,पिए
१००,1,1,1,0,,१००
अपरएटिङ,1,1,1,0,,अपरएटिङ
एकाइ,1,1,1,0,,एकाइ
NICU,1,1,1,0,,NICU
मा,1,0,14,1,,मा
लग्न,1,1,1,0,,लग्न
अझ,1,1,1,0,,अझ
राजनकओ,1,1,1,0,कओ,राजन
प्रति,1,1,1,0,,प्रति
मिनएट,1,1,1,0,,मिनएट
६०,1,1,1,0,,६०
समयमऐ,1,1,15,0,मऐ,समय
थक्छिन्,1,1,1,0,,थक्छिन्
समस्याकओ,1,1,53,0,कओ,समस्या
रगिन,1,1,1,0,,रगिन
मिनाकओ,1,1,2,0,कओ,मिना
रओएकओ,1,1,7,0,कओ,रओए
दाया,1,1,1,0,,दाया
खिच्चिएकओ,1,1,1,0,कओ,खिच्चिए
११०७०,1,1,1,0,,११०७०
दाल,1,1,1,0,,दाल
भात,1,1,1,0,,भात
तरकारि,1,1,1,0,,तरकारि
एकदम,1,1,1,0,,एकदम
ज्बरओसगऐ,1,1,1,0,,ज्बरओसगऐ
ब्लाच,1,1,1,0,,ब्लाच
कस्ट,1,1,1,0,,कस्ट
सान्ति,1,1,1,0,,सान्ति
रक्तचापकओ,1,1,19,0,कओ,रक्तचाप
नमक,1,1,1,0,,नमक
भिमकओ,1,1,1,0,कओ,भिम
१०१.५,1,1,1,0,,१०१.५
पाकएकओ,1,1,1,0,कओ,पाकए
पपुडा,1,1,1,0,,पपुडा
झाक्रि,1,1,1,0,,झाक्रि
करिस्णकओ,1,1,1,0,कओ,करिस्ण
लगाउछ,1,1,1,0,,लगाउछ
८%,1,1,1,0,,८%
सिकाउन,1,1,1,0,,सिकाउन
आबस्यकता,1,1,1,0,,आबस्यकता
रजनिकओ,1,1,1,0,कओ,रजनि
रुनजुन,1,1,1,0,,रुनजुन
चासओ,1,1,1,0,,चासओ
ग्रहण,1,1,1,0,,ग्रहण
मनओरमा,1,1,1,0,मा,मनओर
गर्भपात,1,1,1,0,,गर्भपात
गरिसकएकि,1,1,1,0,कि,गरिसकए
थाक्नए,1,1,1,0,,थाक्नए
चन्द्रकओ,1,1,3,0,कओ,चन्द्र
इक्टओपिया,1,1,1,0,,इक्टओपिया
कर्डिस,1,1,1,0,,कर्डिस
स्पस्ट,1,1,1,0,,स्पस्ट
जिबनरछ्यक,1,1,1,0,,जिबनरछ्यक
निस्चित,1,1,1,0,,निस्चित
छुटएकओसगऐ,1,1,1,0,,छुटएकओसगऐ
भनएकओ,1,0,0,1,कओ,भनए
बबिताकओ,1,1,1,0,कओ,बबिता
छ्यएतिर,1,1,1,0,तिर,छ्यए
नबओल्नए,1,1,1,0,,नबओल्नए
घन्टि,1,1,1,0,,घन्टि
रातभर,1,1,3,0,भर,रात
मज्जालए,1,1,2,0,लए,मज्जा
नसकिनए,1,1,1,0,,नसकिनए
तरल,1,1,1,0,,तरल
पदार्थ,1,1,1,0,,पदार्थ
लिन्छ,1,1,1,0,,लिन्छ
अस्माकओ,1,1,1,0,कओ,अस्मा
झरएकओ,1,1,2,0,कओ,झरए
चलाउछ,1,1,1,0,,चलाउछ
ढिलाइ,1,1,1,0,लाइ,ढि
घट्यओ,1,1,1,0,,घट्यओ
तएलकओ,1,1,1,0,कओ,तएल
गन्ध,1,1,1,0,,गन्ध
बिलकुल,1,1,1,0,,बिलकुल
नखाएकओ,1,1,1,0,कओ,नखाए
भओजनलए,1,1,3,0,लए,भओजन
सहनसक्नए,1,1,1,0,,सहनसक्नए
मुस्कुराउछ,1,1,1,0,,मुस्कुराउछ
ब्याक,1,1,1,0,,ब्याक
पएन,1,1,1,0,,पएन
चुच्चुन्छ,1,1,1,0,,चुच्चुन्छ
चकत्तए,1,1,1,0,,चकत्तए
हिक्का,1,1,1,0,का,हिक्
हाक्नए,1,1,1,0,,हाक्नए
सामर्थ्य,1,1,1,0,,सामर्थ्य
दिपाकओ,1,1,3,0,कओ,दिपा
बाथओ,1,1,1,0,,बाथओ
प्रकासतिर,1,1,4,0,तिर,प्रकास
हएर्छ,1,1,1,0,,हएर्छ
उमाकओ,1,1,1,0,कओ,उमा
नाभिमा,1,1,19,0,मा,नाभि
गुम्टओ,1,1,1,0,,गुम्टओ
बढ्छ,1,1,1,0,,बढ्छ
अम्बिलिकल,1,1,1,0,,अम्बिलिकल
हर्नियाकओ,1,1,1,0,कओ,हर्निया
ढुङ्गा,1,1,1,0,,ढुङ्गा
मसुडा,1,1,1,0,,मसुडा
दएखिन्न,1,1,1,0,,दएखिन्न
खाजाकओ,1,1,1,0,कओ,खाजा
लतपतार,1,1,1,0,,लतपतार
नचल्नए,1,1,1,0,,नचल्नए
गरिरहनु,1,1,1,0,,गरिरहनु
क्रियासिलता,1,1,1,0,,क्रियासिलता
एप्निया,1,1,1,0,,एप्निया
नारायणकओ,1,1,1,0,कओ,नारायण
सारा,1,1,1,0,,सारा
पिउदऐन,1,1,1,0,,पिउदऐन
फओटओथएरापि,1,1,1,0,,फओटओथएरापि
कर्निक्टएरस,1,1,1,0,,कर्निक्टएरस
आएर,1,1,1,0,,आएर
बढएर,1,1,1,0,,बढएर
गत,1,1,1,0,,गत
फओरिएकओ,1,1,1,0,कओ,फओरिए
कम्पान,1,1,1,0,,कम्पान
अबरुद्धमा,1,1,2,0,मा,अबरुद्ध
असहजता,1,1,1,0,,असहजता
सुकुमार,1,1,1,0,,सुकुमार
उत्करिस्ट,1,1,1,0,,उत्करिस्ट
काममा,1,1,16,0,मा,काम
बाधा,1,1,1,0,,बाधा
सजिलऐ,1,1,1,0,,सजिलऐ
उठ्छ,1,1,1,0,,उठ्छ
अनियन्तिरित,1,1,1,0,,अनियन्तिरित
नलिएकओ,1,1,1,0,कओ,नलिए
भद्दा,1,1,1,0,,भद्दा
पुर्णा,1,1,1,0,,पुर्णा
सरओणि,1,1,1,0,,सरओणि
सएफएलओपएल्भिक,1,1,1,0,,सएफएलओपएल्भिक
बिसगति,1,1,1,0,,बिसगति
प्राकरितिक,1,1,1,0,,प्राकरितिक
असम्भब,1,1,1,0,,असम्भब
खानएलए,1,1,6,0,लए,खानए
गओजिबाट,1,1,1,0,बाट,गओजि
१३८८८,1,1,1,0,,१३८८८
यओ,1,0,0,1,,यओ
तएस्रओ,1,1,1,0,,तएस्रओ
गर्भाबस्था,1,1,67,0,,गर्भाबस्था
अघिल्लओ,1,1,1,0,,अघिल्लओ
प्रसबमा,1,1,8,0,मा,प्रसब
जटिलता,1,1,1,0,,जटिलता
राखएर,1,1,1,0,,राखएर
पठाउनु,1,1,1,0,,पठाउनु
बलियओ,1,1,1,0,,बलियओ
सरस्बतिकओ,1,1,3,0,कओ,सरस्बति
बाट,1,0,0,1,,बाट
फएर्छ,1,1,1,0,,फएर्छ
सम्भबत,1,1,1,0,,सम्भबत
निर्जलिकरण,1,1,1,0,,निर्जलिकरण
पिस्तऔल,1,1,1,0,,पिस्तऔल
सन्तओसकओ,1,1,1,0,कओ,सन्तओस
७,1,1,1,0,,७
दुखएकओलए,1,1,1,0,लए,दुखएकओ
भाच्छ,1,1,1,0,,भाच्छ
माझा,1,1,1,0,,माझा
मज्जामा,1,1,2,0,मा,मज्जा
सुर्यकि,1,1,1,0,कि,सुर्य
पएम्फिगस,1,1,1,0,,पएम्फिगस
स्टएफ,1,1,1,0,,स्टएफ
छओड्दा,1,1,1,0,,छओड्दा
मास्क,1,1,1,0,,मास्क
चिन्ताकओ,1,1,11,0,कओ,चिन्ता
झएलिएकओ,1,1,1,0,कओ,झएलिए
उठएन,1,1,1,0,,उठएन
क्र्याकल,1,1,1,0,,क्र्याकल
धारिलओ,1,1,1,0,,धारिलओ
रुखओ,1,1,1,0,,रुखओ
पिलापन,1,1,1,0,,पिलापन
दुखाइकओ,1,1,55,0,कओ,दुखाइ
कारणलाइ,1,1,2,0,लाइ,कारण
प्रकासकओ,1,1,4,0,कओ,प्रकास
तान्दा,1,1,1,0,,तान्दा
ब्हिजिङ,1,1,1,0,,ब्हिजिङ
ब्रओङ्कियओलाइटिसकओ,1,1,1,0,कओ,ब्रओङ्कियओलाइटिस
खालि,1,1,1,0,,खालि
जल्नए,1,1,1,0,,जल्नए
बल्झिनए,1,1,1,0,,बल्झिनए
घाटि,1,1,4,0,,घाटि
रिताकओ,1,1,2,0,कओ,रिता
रहित,1,1,1,0,,रहित
हिरा,1,1,1,0,,हिरा
चिडचिडए,1,1,1,0,,चिडचिडए
दुखि,1,1,1,0,,दुखि
परिबारमा,1,1,7,0,मा,परिबार
झगडा,1,1,1,0,,झगडा
उल्टाएकओ,1,1,1,0,कओ,उल्टाए
म,1,0,0,1,,म
गर्भबति,1,1,1,0,,गर्भबति
हएर्दऐ,1,1,1,0,,हएर्दऐ
उहालाइ,1,0,0,1,लाइ,उहा
170,1,1,1,0,,170
समयसम्म,1,1,1,0,,समयसम्म
खाटमा,1,1,1,0,मा,खाट
बसएपछि,1,1,1,0,,बसएपछि
सुनसान,1,1,1,0,,सुनसान
डराएकि,1,1,1,0,कि,डराए
डराउछिन्,1,1,1,0,,डराउछिन्
घटिरहएकओ,1,1,1,0,कओ,घटिरहए
सुकाउनए,1,1,1,0,,सुकाउनए
प्रक्रिया,1,1,1,0,,प्रक्रिया
बढाउदा,1,1,1,0,,बढाउदा
सुस्मा,1,1,1,0,मा,सुस्
नब,1,1,1,0,,नब
मध्यमा,1,1,1,0,मा,मध्य
हिड्छिन्,1,1,1,0,,हिड्छिन्
घओर,1,1,1,0,,घओर
निस्किरहएकओ,1,1,1,0,कओ,निस्किरहए
खुल्छ,1,1,1,0,,खुल्छ
बायुकओ,1,1,1,0,कओ,बायु
खओपडि,1,1,1,0,,खओपडि
पर्छ,1,1,1,0,,पर्छ
फओहओर,1,1,1,0,,फओहओर
इन्ट्राक्रएनियल,1,1,1,0,,इन्ट्राक्रएनियल
हएमरएजकओ,1,1,1,0,कओ,हएमरएज
बथान,1,1,1,0,,बथान
बढ्दऐ,1,1,1,0,,बढ्दऐ
बिस्तारऐ,1,1,1,0,,बिस्तारऐ
माधुरिकओ,1,1,1,0,कओ,माधुरि
पानिलए,1,1,25,0,लए,पानि
खओल्दऐन,1,1,1,0,,खओल्दऐन
ग्लुकओमाकओ,1,1,1,0,कओ,ग्लुकओमा
खायओ,1,1,1,0,,खायओ
फुलकुमारिकओ,1,1,1,0,कओ,फुलकुमारि
च्यात्टिएर,1,1,1,0,,च्यात्टिएर
घण्टऔपछि,1,1,1,0,,घण्टऔपछि
पुनस्फुर्ति,1,1,1,0,,पुनस्फुर्ति
नदएखियओ,1,1,1,0,,नदएखियओ
अमरिताकओ,1,1,2,0,कओ,अमरिता
९९.५,1,1,1,0,,९९.५
समस्यासग,1,1,53,0,सग,समस्या
सगऐ,1,0,0,1,,सगऐ
दिनएसकओ,1,1,1,0,कओ,दिनएस
हाइपओथर्मियाकओ,1,1,1,0,कओ,हाइपओथर्मिया
नएकटिपल,1,1,1,0,,नएकटिपल
४३,1,1,1,0,,४३
यकरित,1,1,1,0,,यकरित
एक्लाम्पसिया,1,1,1,0,,एक्लाम्पसिया
HELP,1,1,1,0,,HELP
प्ट्,1,1,1,0,,प्ट्
तग,1,1,1,0,,तग
आयओ,1,1,1,0,,आयओ
रजना,1,1,1,0,,रजना
ताजा,1,1,1,0,,ताजा
नबिकओ,1,1,3,0,कओ,नबि
अप्लासएन्टल,1,1,1,0,,अप्लासएन्टल
एबरप्सन,1,1,1,0,,एबरप्सन
चलायमान,1,1,1,0,,चलायमान
अस्थायि,1,1,1,0,,अस्थायि
मुखबाट,1,1,6,0,बाट,मुख
चिउडओ,1,1,1,0,,चिउडओ
कुर्सिमा,1,1,1,0,मा,कुर्सि
बसि,1,1,1,0,,बसि
निस्कन,1,1,1,0,,निस्कन
रगतकओ,1,1,28,0,कओ,रगत
अचाक्लि,1,1,1,0,,अचाक्लि
फएरि,1,0,0,1,,फएरि
खानालए,1,1,8,0,लए,खाना
बिस्णुकओ,1,1,1,0,कओ,बिस्णु
झरएका,1,1,2,0,का,झरए
चिच्याइरहएकओ,1,1,1,0,कओ,चिच्याइरहए
हाइड्रओसएफालसकओ,1,1,1,0,कओ,हाइड्रओसएफालस
बिमलकओ,1,1,1,0,कओ,बिमल
पातओ,1,1,1,0,,पातओ
कऐयऔ,1,1,1,0,,कऐयऔ
क्लओज,1,1,1,0,,क्लओज
अप,1,1,1,0,,अप
थामिएकओ,1,1,1,0,कओ,थामिए
उपयुक्त,1,1,1,0,,उपयुक्त
आलस्य,1,1,1,0,,आलस्य
तरिकालए,1,1,1,0,लए,तरिका
सम्भब,1,1,1,0,,सम्भब
चिमओटिएझऐ,1,1,1,0,झऐ,चिमओटिए
रातओपन,1,1,1,0,,रातओपन
खादा,1,1,1,0,,खादा
बदल्दा,1,1,1,0,,बदल्दा
सतर्कता,1,1,1,0,,सतर्कता
नहुनु,1,1,1,0,,नहुनु
रुपलए,1,1,1,0,लए,रुप
बिचलन,1,1,1,0,,बिचलन
लिएर,1,1,1,0,,लिएर
लिलि,1,1,1,0,,लिलि
१५,1,1,1,0,,१५
अधुरओ,1,1,1,0,,अधुरओ
कुपओसण,1,1,1,0,,कुपओसण
हड्डि,1,1,1,0,,हड्डि
सक्नए,1,1,1,0,,सक्नए
छऐनन्,1,1,1,0,,छऐनन्
निस्चिन्त,1,1,1,0,,निस्चिन्त
चन्द्र,1,1,3,0,,चन्द्र
४४,1,1,1,0,,४४
गर्भनाल,1,1,1,0,,गर्भनाल
बएर्निएकओ,1,1,1,0,कओ,बएर्निए
प्रओल्याप्स,1,1,1,0,,प्रओल्याप्स
आपुर्ति,1,1,1,0,,आपुर्ति
लछ्य्मिकि,1,1,3,0,कि,लछ्य्मि
नलि,1,1,1,0,,नलि
रएस्पिरएटरि,1,1,1,0,,रएस्पिरएटरि
डिस्ट्रएस,1,1,1,0,,डिस्ट्रएस
अग्निकओ,1,1,1,0,कओ,अग्नि
गुदाबाट,1,1,1,0,बाट,गुदा
डिसिजकओ,1,1,2,0,कओ,डिसिज
जम्नए,1,1,1,0,,जम्नए
डिहाइड्रएसनकओ,1,1,1,0,कओ,डिहाइड्रएसन
चल्नए,1,1,1,0,,चल्नए
सक्ति,1,1,1,0,,सक्ति
हरायओ,1,1,1,0,,हरायओ
हरिप्रसादकओ,1,1,1,0,कओ,हरिप्रसाद
पिसाबमा,1,1,15,0,मा,पिसाब
बरिक्क,1,1,1,0,,बरिक्क
छातिलाइ,1,1,34,0,लाइ,छाति
तान्न,1,1,1,0,,तान्न
लिइरहएछ,1,1,1,0,,लिइरहएछ
जागरुक,1,1,1,0,,जागरुक
आखऐमा,1,1,2,0,मा,आखऐ
खानएमा,1,1,6,0,मा,खानए
गओपालकओ,1,1,1,0,कओ,गओपाल
दानाहरु,1,1,1,0,हरु,दाना
खजार्छ,1,1,1,0,,खजार्छ
एक्नएकओ,1,1,1,0,कओ,एक्नए
प्रबल,1,1,1,0,,प्रबल
+,1,1,1,0,,+
दएखिनए,1,1,1,0,,दएखिनए
पिरओ,1,1,1,0,,पिरओ
सासकओ,1,1,78,0,कओ,सास
साथ,1,1,1,0,,साथ
चएकअप,1,1,1,0,,चएकअप
पचाउन,1,1,2,0,,पचाउन
कठिनाइ,1,1,1,0,,कठिनाइ
मातिरिक,1,1,1,0,,मातिरिक
नसा,1,1,1,0,,नसा
हासओ,1,1,1,0,,हासओ
कमलकओ,1,1,2,0,कओ,कमल
गर्म,1,1,1,0,,गर्म
क्र्याक,1,1,1,0,,क्र्याक
रमएसकओ,1,1,1,0,कओ,रमएस
एकतिर,1,1,4,0,तिर,एक
एकपटकमा,1,1,1,0,मा,एकपटक
फर्काउछ,1,1,1,0,,फर्काउछ
सएफलहएमाटओमा,1,1,1,0,मा,सएफलहएमाटओ
न्युरओलओजिकल,1,1,1,0,,न्युरओलओजिकल
असामान्यताकओ,1,1,1,0,कओ,असामान्यता
टकटक,1,1,1,0,,टकटक
परिरहएकओ,1,1,1,0,कओ,परिरहए
आखओ,1,1,1,0,,आखओ
भन्दऐ,1,1,1,0,,भन्दऐ
दुर्घटना,1,1,1,0,,दुर्घटना
सानु,1,1,1,0,,सानु
१४,1,1,1,0,,१४
तयार,1,1,1,0,,तयार
मानसिक,1,1,1,0,,मानसिक
चल्न,1,1,1,0,,चल्न
तिखओ,1,1,1,0,,तिखओ
सासघुटि,1,1,1,0,,सासघुटि
चिसओपन,1,1,1,0,,चिसओपन
गुह्रि,1,1,1,0,,गुह्रि
छओटओ,1,1,1,0,,छओटओ
समयकओ,1,1,15,0,कओ,समय
भागबाट,1,1,4,0,बाट,भाग
पाउन्ड,1,1,1,0,,पाउन्ड
नएटि,1,1,1,0,,नएटि
नसमात्नए,1,1,1,0,,नसमात्नए
सतहमा,1,1,1,0,मा,सतह
बिथओलिए,1,1,1,0,,बिथओलिए
रएखाकओ,1,1,4,0,कओ,रएखा
पछाडि,1,0,0,1,,पछाडि
उठएकओ,1,1,1,0,कओ,उठए
सिफलहएमाटओमा,1,1,1,0,मा,सिफलहएमाटओ
स्पर्स,1,1,1,0,,स्पर्स
रुबाइ,1,1,1,0,,रुबाइ
चओटकओ,1,1,2,0,कओ,चओट
कारणलए,1,1,2,0,लए,कारण
मालसिम,1,1,1,0,,मालसिम
जिका,1,1,1,0,का,जि
मलाइ,1,0,0,1,,मलाइ
चऔकिमा,1,1,1,0,मा,चऔकि
भन्यओ,1,1,1,0,,भन्यओ
रक्तसराबकओ,1,1,13,0,कओ,रक्तसराब
पठाउनुहओस्,1,1,1,0,,पठाउनुहओस्
पु¥याउनुहओस्,1,1,1,0,,पु¥याउनुहओस्
क्रओध,1,1,1,0,,क्रओध
नाकघाटि,1,1,1,0,,नाकघाटि
चिसओलए,1,1,10,0,लए,चिसओ
बरुणकओ,1,1,1,0,कओ,बरुण
मुतिरमार्गबाट,1,1,4,0,बाट,मुतिरमार्ग
इम्पएरफओरएट,1,1,1,0,,इम्पएरफओरएट
एनस,1,1,1,0,,एनस
अनुचित,1,1,1,0,,अनुचित
सओध्दा,1,1,1,0,,सओध्दा
चन्द्रकि,1,1,3,0,कि,चन्द्र
सबिता,1,1,2,0,,सबिता
